1,Спартак , Уфа ,2,2
1,ЦСКА , Рубин ,1,0
1,Ростов , Терек ,1,1
1,Зенит , Динамо ,2,1
1,Мордовия , Локомотив ,0,1
1,Анжи , Крылья Советов ,0,1
1,Амкар , Краснодар ,0,1
1,Кубань , Урал ,0,2
2,Крылья Советов , ЦСКА ,0,2
2,Уфа , Ростов ,1,2
2,Динамо , Мордовия ,2,2
2,Терек , Кубань ,1,1
2,Урал , Зенит ,1,4
2,Рубин , Амкар ,0,2
2,Краснодар , Спартак ,0,1
2,Анжи , Локомотив ,1,3
3,Кубань , Уфа ,1,1
3,Амкар , Крылья Советов ,1,0
3,Зенит , Терек ,3,0
3,ЦСКА , Анжи ,1,0
3,Локомотив , Динамо ,1,1
3,Мордовия , Урал ,1,1
3,Ростов , Краснодар ,0,0
3,Спартак , Рубин ,1,0
4,Терек , Мордовия ,0,0
4,Урал , Локомотив ,1,3
4,Анжи , Динамо ,2,3
4,ЦСКА , Амкар ,2,0
4,Уфа , Зенит ,0,1
4,Крылья Советов , Спартак ,0,2
4,Рубин , Ростов ,0,3
4,Краснодар , Кубань ,1,1
5,Амкар , Анжи ,1,1
5,Спартак , ЦСКА ,1,2
5,Зенит , Краснодар ,0,2
5,Кубань , Рубин ,0,1
5,Локомотив , Терек ,0,0
5,Динамо , Урал ,1,0
5,Ростов , Крылья Советов ,1,1
5,Мордовия , Уфа ,0,1
6,Терек , Динамо ,1,1
6,Амкар , Спартак ,1,3
6,ЦСКА , Ростов ,2,1
6,Анжи , Урал ,1,1
6,Уфа , Локомотив ,0,3
6,Краснодар , Мордовия ,0,0
6,Крылья Советов , Кубань ,3,0
6,Рубин , Зенит ,1,3
7,Урал , Терек ,3,3
7,Ростов , Амкар ,1,0
7,Динамо , Уфа ,2,0
7,Зенит , Крылья Советов ,1,3
7,Спартак , Анжи ,1,2
7,Локомотив , Краснодар ,2,1
7,Мордовия , Рубин ,2,1
7,Кубань , ЦСКА ,0,1
8,ЦСКА , Зенит ,2,2
8,Амкар , Кубань ,1,1
8,Рубин , Локомотив ,3,1
8,Спартак , Ростов ,1,0
8,Краснодар , Динамо ,4,0
8,Анжи , Терек ,0,2
8,Уфа , Урал ,0,1
8,Крылья Советов , Мордовия ,1,0
9,Ростов , Анжи ,1,0
9,Терек , Уфа ,4,1
9,Кубань , Спартак ,3,0
9,Мордовия , ЦСКА ,4,6
9,Зенит , Амкар ,1,1
9,Локомотив , Крылья Советов ,2,0
9,Урал , Краснодар ,3,1
9,Динамо , Рубин ,0,0
10,ЦСКА , Локомотив ,1,1
10,Анжи , Уфа ,1,1
10,Спартак , Зенит ,2,2
10,Крылья Советов , Динамо ,0,0
10,Краснодар , Терек ,1,1
10,Рубин , Урал ,1,2
10,Амкар , Мордовия ,2,1
10,Ростов , Кубань ,2,1
11,Урал , Крылья Советов ,1,1
11,Мордовия , Спартак ,0,1
11,Зенит , Ростов ,3,0
11,Кубань , Анжи ,1,1
11,Динамо , ЦСКА ,0,2
11,Терек , Рубин ,2,1
11,Уфа , Краснодар ,1,1
11,Локомотив , Амкар ,3,0
12,ЦСКА , Урал ,3,2
12,Амкар , Динамо ,1,1
