1,Бавария , Гамбург ,5,0
1,Байер , Хоффенхайм ,2,1
1,Аугсбург , Герта ,0,1
1,Вердер , Шальке-04 ,0,3
1,Майнц , Ингольштадт 04 ,0,1
1,Дармштадт 98 , Ганновер-96 ,2,2
1,Боруссия Д , Боруссия М ,4,0
1,Вольфсбург , Айнтрахт Ф ,2,1
1,Штутгарт , Кёльн ,1,3
2,Герта , Вердер ,1,1
2,Шальке-04 , Дармштадт 98 ,1,1
2,Айнтрахт Ф , Аугсбург ,1,1
2,Кёльн , Вольфсбург ,1,1
2,Ганновер-96 , Байер ,0,1
2,Хоффенхайм , Бавария ,1,2
2,Гамбург , Штутгарт ,3,2
2,Ингольштадт 04 , Боруссия Д ,0,4
2,Боруссия М , Майнц ,1,2
3,Вольфсбург , Шальке-04 ,3,0
3,Штутгарт , Айнтрахт Ф ,1,4
3,Аугсбург , Ингольштадт 04 ,0,1
3,Кёльн , Гамбург ,2,1
3,Майнц , Ганновер-96 ,3,0
3,Дармштадт 98 , Хоффенхайм ,0,0
3,Бавария , Байер ,3,0
3,Боруссия Д , Герта ,3,1
3,Вердер , Боруссия М ,2,1
4,Боруссия М , Гамбург ,0,3
4,Бавария , Аугсбург ,2,1
4,Байер , Дармштадт 98 ,0,1
4,Ганновер-96 , Боруссия Д ,2,4
4,Герта , Штутгарт ,2,1
4,Ингольштадт 04 , Вольфсбург ,0,0
4,Айнтрахт Ф , Кёльн ,6,2
4,Хоффенхайм , Вердер ,1,3
4,Шальке-04 , Майнц ,2,1
5,Майнц , Хоффенхайм ,3,1
5,Вольфсбург , Герта ,2,0
5,Гамбург , Айнтрахт Ф ,0,0
5,Вердер , Ингольштадт 04 ,0,1
5,Кёльн , Боруссия М ,1,0
5,Дармштадт 98 , Бавария ,0,3
5,Штутгарт , Шальке-04 ,0,1
5,Боруссия Д , Байер ,3,0
5,Аугсбург , Ганновер-96 ,2,0
6,Бавария , Вольфсбург ,5,1
6,Герта , Кёльн ,2,0
6,Ингольштадт 04 , Гамбург ,0,1
6,Дармштадт 98 , Вердер ,2,1
6,Шальке-04 , Айнтрахт Ф ,2,0
6,Байер , Майнц ,1,0
6,Боруссия М , Аугсбург ,4,2
6,Ганновер-96 , Штутгарт ,1,3
6,Хоффенхайм , Боруссия Д ,1,1
7,Кёльн , Ингольштадт 04 ,1,1
7,Вольфсбург , Ганновер-96 ,1,1
7,Штутгарт , Боруссия М ,1,3
7,Аугсбург , Хоффенхайм ,1,3
7,Вердер , Байер ,0,3
7,Майнц , Бавария ,0,3
7,Гамбург , Шальке-04 ,0,1
7,Айнтрахт Ф , Герта ,1,1
7,Боруссия Д , Дармштадт 98 ,2,2
8,Дармштадт 98 , Майнц ,2,3
8,Боруссия М , Вольфсбург ,2,0
8,Ганновер-96 , Вердер ,1,0
8,Герта , Гамбург ,3,0
8,Хоффенхайм , Штутгарт ,2,2
8,Ингольштадт 04 , Айнтрахт Ф ,2,0
8,Шальке-04 , Кёльн ,0,3
8,Бавария , Боруссия Д ,5,1
8,Байер , Аугсбург ,1,1
9,Майнц , Боруссия Д ,0,2
9,Шальке-04 , Герта ,2,1
9,Вольфсбург , Хоффенхайм ,4,2
9,Гамбург , Байер ,0,0
9,Аугсбург , Дармштадт 98 ,0,2
9,Вердер , Бавария ,0,1
9,Айнтрахт Ф , Боруссия М ,1,5
9,Кёльн , Ганновер-96 ,0,1
9,Штутгарт , Ингольштадт 04 ,1,0
10,Хоффенхайм , Гамбург ,0,1
10,Бавария , Кёльн ,4,0
10,Байер , Штутгарт ,4,3
10,Ганновер-96 , Айнтрахт Ф ,1,2
10,Майнц , Вердер ,1,3
10,Дармштадт 98 , Вольфсбург ,0,1
10,Ингольштадт 04 , Герта ,0,1
10,Боруссия Д , Аугсбург ,5,1
10,Боруссия М , Шальке-04 ,3,1
11,Айнтрахт Ф , Бавария ,0,0
11,Шальке-04 , Ингольштадт 04 ,1,1
11,Аугсбург , Майнц ,3,3
11,Вердер , Боруссия Д ,1,3
11,Кёльн , Хоффенхайм ,0,0
11,Герта , Боруссия М ,1,4
11,Вольфсбург , Байер ,2,1
11,Штутгарт , Дармштадт 98 ,2,0
11,Гамбург , Ганновер-96 ,1,2
12,Ганновер-96 , Герта ,1,3
12,Бавария , Штутгарт ,4,0
12,Байер , Кёльн ,1,2
12,Боруссия М , Ингольштадт 04 ,0,0
12,Хоффенхайм , Айнтрахт Ф ,0,0
12,Майнц , Вольфсбург ,2,0
12,Дармштадт 98 , Гамбург ,1,1
12,Боруссия Д , Шальке-04 ,3,2
12,Аугсбург , Вердер ,1,2
13,Гамбург , Боруссия Д ,3,1
13,Боруссия М , Ганновер-96 ,2,1
13,Вольфсбург , Вердер ,6,0
13,Айнтрахт Ф , Байер ,1,3
13,Кёльн , Майнц ,0,0
13,Штутгарт , Аугсбург ,0,4
13,Шальке-04 , Бавария ,1,3
13,Герта , Хоффенхайм ,1,0
13,Ингольштадт 04 , Дармштадт 98 ,3,1
14,Дармштадт 98 , Кёльн ,0,0
14,Бавария , Герта ,2,0
14,Вердер , Гамбург ,1,3
14,Ганновер-96 , Ингольштадт 04 ,4,0
14,Хоффенхайм , Боруссия М ,3,3
14,Майнц , Айнтрахт Ф ,2,1
14,Боруссия Д , Штутгарт ,4,1
14,Байер , Шальке-04 ,1,1
14,Аугсбург , Вольфсбург ,0,0
15,Шальке-04 , Ганновер-96 ,3,1
15,Боруссия М , Бавария ,3,1
15,Гамбург , Майнц ,1,3
15,Кёльн , Аугсбург ,0,1
15,Герта , Байер ,2,1
15,Ингольштадт 04 , Хоффенхайм ,1,1
15,Вольфсбург , Боруссия Д ,1,2
15,Штутгарт , Вердер ,1,1
15,Айнтрахт Ф , Дармштадт 98 ,0,1
16,Майнц , Штутгарт ,0,0
16,Бавария , Ингольштадт 04 ,2,0
16,Вольфсбург , Гамбург ,1,1
16,Вердер , Кёльн ,1,1
16,Хоффенхайм , Ганновер-96 ,1,0
16,Дармштадт 98 , Герта ,0,4
16,Байер , Боруссия М ,5,0
16,Аугсбург , Шальке-04 ,2,1
16,Боруссия Д , Айнтрахт Ф ,4,1
17,Шальке-04 , Хоффенхайм ,1,0
17,Гамбург , Аугсбург ,0,1
17,Айнтрахт Ф , Вердер ,2,1
17,Кёльн , Боруссия Д ,2,1
17,Ганновер-96 , Бавария ,0,1
17,Ингольштадт 04 , Байер ,0,1
17,Штутгарт , Вольфсбург ,3,1
17,Герта , Майнц ,2,0
17,Боруссия М , Дармштадт 98 ,3,2
18,Гамбург , Бавария ,1,2
18,Кёльн , Штутгарт ,1,3
18,Ганновер-96 , Дармштадт 98 ,1,2
18,Герта , Аугсбург ,0,0
18,Хоффенхайм , Байер ,1,1
18,Ингольштадт 04 , Майнц ,1,0
18,Боруссия М , Боруссия Д ,1,3
18,Айнтрахт Ф , Вольфсбург ,3,2
18,Шальке-04 , Вердер ,1,3
19,Майнц , Боруссия М ,1,0
19,Боруссия Д , Ингольштадт 04 ,2,0
19,Байер , Ганновер-96 ,3,0
19,Аугсбург , Айнтрахт Ф ,0,0
19,Вердер , Герта ,3,3
19,Дармштадт 98 , Шальке-04 ,0,2
19,Штутгарт , Гамбург ,2,1
19,Вольфсбург , Кёльн ,1,1
19,Бавария , Хоффенхайм ,2,0
20,Боруссия М , Вердер ,5,1
20,Шальке-04 , Вольфсбург ,3,0
20,Айнтрахт Ф , Штутгарт ,2,4
20,Ганновер-96 , Майнц ,0,1
20,Герта , Боруссия Д ,0,0
20,Ингольштадт 04 , Аугсбург ,2,1
20,Байер , Бавария ,0,0
20,Гамбург , Кёльн ,1,1
20,Хоффенхайм , Дармштадт 98 ,0,2
21,Майнц , Шальке-04 ,2,1
21,Боруссия Д , Ганновер-96 ,1,0
21,Вольфсбург , Ингольштадт 04 ,2,0
21,Штутгарт , Герта ,2,0
21,Вердер , Хоффенхайм ,1,1
21,Дармштадт 98 , Байер ,1,2
21,Кёльн , Айнтрахт Ф ,3,1
21,Гамбург , Боруссия М ,3,2
21,Аугсбург , Бавария ,1,3
22,Айнтрахт Ф , Гамбург ,0,0
22,Бавария , Дармштадт 98 ,3,1
22,Боруссия М , Кёльн ,1,0
22,Герта , Вольфсбург ,1,1
22,Хоффенхайм , Майнц ,3,2
22,Ингольштадт 04 , Вердер ,2,0
22,Байер , Боруссия Д ,0,1
22,Шальке-04 , Штутгарт ,1,1
22,Ганновер-96 , Аугсбург ,0,1
23,Кёльн , Герта ,0,1
23,Вольфсбург , Бавария ,0,2
23,Гамбург , Ингольштадт 04 ,1,1
23,Штутгарт , Ганновер-96 ,1,2
23,Вердер , Дармштадт 98 ,2,2
23,Аугсбург , Боруссия М ,2,2
23,Боруссия Д , Хоффенхайм ,3,1
23,Майнц , Байер ,3,1
23,Айнтрахт Ф , Шальке-04 ,0,0
24,Ганновер-96 , Вольфсбург ,0,4
24,Ингольштадт 04 , Кёльн ,1,1
24,Бавария , Майнц ,1,2
24,Шальке-04 , Гамбург ,3,2
24,Байер , Вердер ,1,4
24,Боруссия М , Штутгарт ,4,0
24,Герта , Айнтрахт Ф ,2,0
24,Хоффенхайм , Аугсбург ,2,1
24,Дармштадт 98 , Боруссия Д ,0,2
25,Вольфсбург , Боруссия М ,2,1
25,Штутгарт , Хоффенхайм ,5,1
25,Аугсбург , Байер ,3,3
