1,Лилль , ПСЖ ,0,1
1,Нант , Генгам ,1,0
1,Монпелье , Анже ,0,2
1,Ницца , Монако ,1,2
1,Марсель , Кан ,0,1
1,Бастия , Ренн ,2,1
1,Труа , Газелек Аяччо ,0,0
1,Бордо , Реймс ,1,2
1,Тулуза , Сент-Этьен ,2,1
1,Лион , Лорьян ,0,0
2,Монако , Лилль ,0,0
2,Сент-Этьен , Бордо ,1,1
2,Анже , Нант ,0,0
2,Генгам , Лион ,0,1
2,Труа , Ницца ,3,3
2,Кан , Тулуза ,1,0
2,Ренн , Монпелье ,1,0
2,Реймс , Марсель ,1,0
2,Лорьян , Бастия ,1,1
2,ПСЖ , Газелек Аяччо ,2,0
3,Монпелье , ПСЖ ,0,1
3,Лион , Ренн ,1,2
3,Нант , Реймс ,1,0
3,Газелек Аяччо , Анже ,0,2
3,Ницца , Кан ,2,1
3,Бастия , Генгам ,3,0
3,Тулуза , Монако ,1,1
3,Лилль , Бордо ,0,0
3,Лорьян , Сент-Этьен ,0,1
3,Марсель , Труа ,6,0
4,Генгам , Марсель ,2,0
4,Кан , Лион ,0,4
4,Анже , Ницца ,1,1
4,Труа , Монпелье ,0,0
4,Лилль , Газелек Аяччо ,1,0
4,Реймс , Лорьян ,4,1
4,Ренн , Тулуза ,3,1
4,Сент-Этьен , Бастия ,2,1
4,Бордо , Нант ,2,0
4,Монако , ПСЖ ,0,3
5,ПСЖ , Бордо ,2,2
5,Лион , Лилль ,0,0
5,Труа , Кан ,1,3
5,Лорьян , Анже ,3,1
5,Монпелье , Сент-Этьен ,1,2
5,Ницца , Генгам ,0,1
5,Тулуза , Реймс ,2,2
5,Газелек Аяччо , Монако ,0,1
5,Нант , Ренн ,0,2
5,Марсель , Бастия ,4,1
6,Ренн , Лилль ,1,1
6,Реймс , ПСЖ ,1,1
6,Анже , Труа ,1,0
6,Генгам , Газелек Аяччо ,2,1
6,Бастия , Ницца ,1,3
6,Кан , Монпелье ,2,1
6,Бордо , Тулуза ,1,1
6,Монако , Лорьян ,2,3
6,Сент-Этьен , Нант ,2,0
6,Марсель , Лион ,1,1
7,Анже , Реймс ,0,0
7,ПСЖ , Генгам ,3,0
7,Труа , Сент-Этьен ,0,1
7,Лорьян , Кан ,2,0
7,Газелек Аяччо , Ренн ,1,1
7,Ницца , Бордо ,6,1
7,Лион , Бастия ,2,0
7,Тулуза , Марсель ,1,1
7,Монпелье , Монако ,2,3
8,Реймс , Лилль ,1,0
8,Нант , ПСЖ ,1,4
8,Бордо , Лион ,3,1
8,Бастия , Тулуза ,3,0
8,Кан , Газелек Аяччо ,2,0
8,Ренн , Труа ,1,1
8,Марсель , Анже ,1,2
8,Генгам , Монако ,3,3
8,Монпелье , Лорьян ,2,1
8,Сент-Этьен , Ницца ,1,4
7,Лилль , Нант ,0,1
9,Лилль , Монпелье ,2,0
9,Лион , Реймс ,1,0
9,Анже , Бастия ,1,0
9,Труа , Генгам ,0,1
9,Газелек Аяччо , Тулуза ,2,2
9,Монако , Ренн ,1,1
9,Лорьян , Бордо ,3,2
9,Кан , Сент-Этьен ,1,0
9,ПСЖ , Марсель ,2,1
10,Монако , Лион ,1,1
10,Бастия , ПСЖ ,0,2
10,Сент-Этьен , Газелек Аяччо ,2,0
10,Генгам , Лилль ,1,1
10,Нант , Труа ,3,0
10,Реймс , Кан ,0,1
10,Тулуза , Анже ,1,2
10,Марсель , Лорьян ,1,1
10,Бордо , Монпелье ,0,0
10,Ренн , Ницца ,1,4
11,Кан , Нант ,0,2
11,Лион , Тулуза ,3,0
11,Лорьян , Ренн ,1,1
11,Анже , Генгам ,0,0
11,Газелек Аяччо , Ницца ,3,1
11,Монпелье , Бастия ,2,0
11,Реймс , Монако ,0,1
11,Бордо , Труа ,1,0
11,Лилль , Марсель ,1,2
11,ПСЖ , Сент-Этьен ,4,1
12,Ренн , ПСЖ ,0,1
12,Сент-Этьен , Реймс ,3,0
12,Генгам , Лорьян ,2,2
12,Труа , Лион ,0,1
12,Газелек Аяччо , Бордо ,2,0
12,Бастия , Кан ,1,0
12,Тулуза , Монпелье ,1,1
12,Ницца , Лилль ,0,0
12,Монако , Анже ,1,0
12,Нант , Марсель ,0,1
9,Ницца , Нант ,1,2
13,Анже , Ренн ,0,2
13,ПСЖ , Тулуза ,5,0
13,Лорьян , Труа ,4,1
13,Лилль , Бастия ,1,1
13,Монпелье , Нант ,2,1
13,Кан , Генгам ,2,1
13,Реймс , Газелек Аяччо ,1,2
13,Марсель , Ницца ,0,1
13,Бордо , Монако ,3,1
13,Лион , Сент-Этьен ,3,0
14,Ницца , Лион ,3,0
14,Лорьян , ПСЖ ,1,2
14,Монако , Нант ,1,0
14,Генгам , Тулуза ,2,0
14,Труа , Лилль ,1,1
14,Монпелье , Реймс ,3,1
14,Бастия , Газелек Аяччо ,1,2
14,Кан , Анже ,0,0
14,Ренн , Бордо ,2,2
14,Сент-Этьен , Марсель ,0,2
15,Лион , Монпелье ,2,4
15,ПСЖ , Труа ,4,1
15,Анже , Лилль ,2,0
15,Нант , Бастия ,0,0
15,Газелек Аяччо , Лорьян ,1,1
15,Реймс , Ренн ,2,2
15,Тулуза , Ницца ,2,0
15,Сент-Этьен , Генгам ,3,0
15,Бордо , Кан ,1,4
15,Марсель , Монако ,3,3
16,Анже , ПСЖ ,0,0
16,Лорьян , Ницца ,0,0
16,Нант , Лион ,0,0
16,Монако , Кан ,1,1
16,Генгам , Реймс ,1,2
16,Труа , Тулуза ,0,3
16,Монпелье , Газелек Аяччо ,0,2
16,Бастия , Бордо ,1,0
16,Лилль , Сент-Этьен ,1,0
16,Ренн , Марсель ,0,1
17,Ницца , ПСЖ ,0,3
17,Лион , Анже ,0,2
17,Газелек Аяччо , Нант ,1,1
17,Бастия , Монако ,1,2
17,Кан , Лилль ,1,2
17,Реймс , Труа ,1,1
17,Тулуза , Лорьян ,2,3
17,Марсель , Монпелье ,2,2
17,Бордо , Генгам ,1,0
17,Сент-Этьен , Ренн ,1,1
18,Ренн , Кан ,1,1
18,Реймс , Ницца ,1,1
18,Труа , Бастия ,1,1
18,Нант , Тулуза ,1,1
18,Лилль , Лорьян ,3,0
18,Монпелье , Генгам ,2,1
18,Монако , Сент-Этьен ,1,0
18,Анже , Бордо ,1,1
18,Марсель , Газелек Аяччо ,1,1
18,ПСЖ , Лион ,5,1
19,Ницца , Монпелье ,1,0
19,Кан , ПСЖ ,0,3
19,Генгам , Ренн ,0,2
19,Труа , Монако ,0,0
19,Лорьян , Нант ,0,0
19,Бастия , Реймс ,2,0
19,Тулуза , Лилль ,1,1
19,Сент-Этьен , Анже ,1,0
19,Газелек Аяччо , Лион ,2,1
19,Бордо , Марсель ,1,1
20,ПСЖ , Бастия ,2,0
20,Лион , Труа ,4,1
20,Анже , Кан ,2,0
20,Монако , Газелек Аяччо ,2,2
20,Монпелье , Бордо ,0,1
20,Реймс , Тулуза ,1,3
20,Ренн , Лорьян ,2,2
20,Нант , Сент-Этьен ,2,1
20,Лилль , Ницца ,1,1
20,Марсель , Генгам ,0,0
21,Ницца , Анже ,2,1
21,Тулуза , ПСЖ ,0,1
21,Генгам , Нант ,2,2
21,Труа , Ренн ,2,4
21,Бордо , Лилль ,1,0
21,Газелек Аяччо , Реймс ,2,2
21,Бастия , Монпелье ,1,0
21,Лорьян , Монако ,0,2
21,Кан , Марсель ,1,3
21,Сент-Этьен , Лион ,1,0
22,Ренн , Газелек Аяччо ,1,0
22,ПСЖ , Анже ,5,1
22,Генгам , Бастия ,1,0
22,Нант , Бордо ,2,2
22,Лилль , Труа ,1,3
22,Монпелье , Кан ,1,2
22,Ницца , Лорьян ,2,1
22,Монако , Тулуза ,4,0
22,Реймс , Сент-Этьен ,1,1
22,Лион , Марсель ,1,1
23,Марсель , Лилль ,1,1
23,Анже , Монако ,3,0
23,Труа , Нант ,0,1
23,Лорьян , Реймс ,2,0
23,Газелек Аяччо , Монпелье ,0,4
23,Бастия , Лион ,1,0
23,Тулуза , Генгам ,1,2
23,Кан , Ницца ,2,0
23,Бордо , Ренн ,4,0
23,Сент-Этьен , ПСЖ ,0,2
24,Монако , Бастия ,2,0
24,Монпелье , Марсель ,0,1
24,Генгам , Труа ,4,0
24,Нант , Газелек Аяччо ,3,1
24,Лилль , Кан ,1,0
24,Ницца , Тулуза ,1,0
24,Лион , Бордо ,3,0
24,Реймс , Анже ,2,1
24,ПСЖ , Лорьян ,3,1
